Designator,Mid X,Mid Y,Rotation,Layer
D1,126.930761,-97.51,270.0,top
D10,103.130761,-148.51,270.0,top
D11,92.930761,-63.51,270.0,top
D12,96.330761,-80.51,270.0,top
D13,92.930761,-97.51,270.0,top
D14,99.730761,-114.51,270.0,top
D15,89.530761,-131.51,270.0,top
D16,86.130761,-141.71,270.0,top
D17,88.930761,-66.91,0.0,top
D18,92.330761,-83.91,0.0,top
D19,88.930761,-100.91,0.0,top
D2,133.730761,-114.51,270.0,top
D20,95.730761,-117.91,0.0,top
D21,85.530761,-134.91,0.0,top
D22,86.130761,-148.51,90.0,top
D23,184.130761,-138.31,90.0,top
D24,180.730761,-121.31,90.0,top
D25,170.530761,-104.31,90.0,top
D26,177.330761,-87.31,90.0,top
D27,201.130761,-138.31,90.0,top
D28,218.130761,-138.31,90.0,top
D29,222.130761,-134.91,180.0,top
D3,123.530761,-131.51,270.0,top
D30,197.730761,-121.31,90.0,top
D31,214.730761,-121.31,90.0,top
D32,218.730761,-117.91,180.0,top
D33,187.530761,-104.31,90.0,top
D34,204.530761,-104.31,90.0,top
D35,208.530761,-100.91,180.0,top
D36,194.330761,-87.31,90.0,top
D37,211.330761,-87.31,90.0,top
D38,215.330761,-83.91,180.0,top
D39,190.930761,-70.31,90.0,top
D4,120.130761,-148.51,270.0,top
D40,207.930761,-70.31,90.0,top
D41,211.930761,-66.91,180.0,top
D42,194.330761,-53.31,90.0,top
D43,211.330761,-60.11,90.0,top
D44,211.330761,-53.31,270.0,top
D5,109.930761,-63.51,270.0,top
D6,113.330761,-80.51,270.0,top
D7,109.930761,-97.51,270.0,top
D8,116.730761,-114.51,270.0,top
D9,106.530761,-131.51,270.0,top
H1,146.830761,-120.61,270.0,top
H10,232.730761,-114.91,90.0,top
H11,156.330761,-74.91,90.0,top
H12,232.930761,-52.11,90.0,top
H2,143.230761,-120.61,270.0,top
H3,157.430761,-120.61,90.0,top
H4,161.030761,-120.61,90.0,top
H5,147.930761,-74.91,270.0,top
H6,71.330761,-52.11,270.0,top
H7,139.230761,-137.01,270.0,top
H8,71.530761,-114.91,270.0,top
H9,165.030761,-137.01,90.0,top
SW1,135.705761,-92.41,270.0,top
SW10,115.305761,-126.41,270.0,top
SW11,111.905761,-143.41,270.0,top
SW12,101.705761,-58.41,270.0,top
SW13,105.105761,-75.41,270.0,top
SW14,101.705761,-92.41,270.0,top
SW15,108.505761,-109.41,270.0,top
SW16,98.305761,-126.41,270.0,top
SW17,94.905761,-143.41,270.0,top
SW18,84.705761,-58.41,270.0,top
SW19,88.105761,-75.41,270.0,top
SW2,147.630761,-92.41,90.0,top
SW20,84.705761,-92.41,270.0,top
SW21,91.505761,-109.41,270.0,top
SW22,81.305761,-126.41,270.0,top
SW23,77.905761,-143.41,270.0,top
SW24,175.355761,-143.41,90.0,top
SW25,171.955761,-126.41,90.0,top
SW26,161.755761,-109.41,90.0,top
SW27,168.555761,-92.41,90.0,top
SW28,192.355761,-143.41,90.0,top
SW29,209.355761,-143.41,90.0,top
SW3,142.505761,-109.41,270.0,top
SW30,226.355761,-143.41,90.0,top
SW31,188.955761,-126.41,90.0,top
SW32,205.955761,-126.41,90.0,top
SW33,222.955761,-126.41,90.0,top
SW34,178.755761,-109.41,90.0,top
SW35,195.755761,-109.41,90.0,top
SW36,212.755761,-109.41,90.0,top
SW37,185.555761,-92.41,90.0,top
SW38,202.555761,-92.41,90.0,top
SW39,219.555761,-92.41,90.0,top
SW4,132.305761,-126.41,270.0,top
SW40,182.155761,-75.41,90.0,top
SW41,199.155761,-75.41,90.0,top
SW42,216.155761,-75.41,90.0,top
SW43,185.555761,-58.41,90.0,top
SW44,202.555761,-58.41,90.0,top
SW45,219.555761,-58.41,90.0,top
SW46,156.630761,-92.41,270.0,top
SW5,128.905761,-143.41,270.0,top
SW6,118.705761,-58.41,270.0,top
SW7,122.105761,-75.41,270.0,top
SW8,118.705761,-92.41,270.0,top
SW9,125.505761,-109.41,270.0,top
U1,140.920761,-61.181,0.0,top
U2,163.340761,-61.181,0.0,top
